Map,19.90%,19.90%,15.20%,9.80%,9.80%,9.80%,5.10%,5.10%,4.30%,1.20%,Surf 19.9%,Surf 19.9%,Surf 15.2%,Surf 9.8%,Surf 9.8%,Surf 9.8%,Surf 5.1%,Surf 5.1%,Surf 4.3%,Surf 1.2%,Old Rod 50%,Old Rod 50%,Good Rod 50%,Good Rod 50%,Super Rod 25%,Super Rod 25%,Super Rod 25%,Super Rod 25%
Route1,"3, Pidgey","4, Pidgey","2, Rattata","3, Rattata","2, Pidgey","3, Pidgey","5, Pidgey","4, Rattata","5, Spearow","6, Spearow",,,,,,,,,,,,,,,,,,
Route2,"5, Rattata","5, Pidgey","6, Nidoran-f","6, Nidoran-m","5, Vulpix","6, Pidgey","7, Vulpix","8, Rattata","8, Pidgey","8, Pidgey",,,,,,,,,,,,,,,,,,
Route3,"8, Spearow","9, Mankey","10, Oddish","9, Jigglypuff","10, Rattata","10, Rattata","11, Oddish","12, Rattata","13, Spearow","14, Spearow",,,,,,,,,,,,,,,,,,
Route4,"11, Spearow","11, Ekans","12, Mankey","13, Farfetchd","13, Sandshrew","13, Rattata","14, Sandshrew","12, Psyduck","13, Psyduck","15, Psyduck",,,,,,,,,,,"5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",30 Goldeen,35 Goldeen,30 Seaking,35 Seaking
Route5,"15, Meowth","14, Rattata","13, Abra","16, Farfetchd","16, Rattata","17, Pidgey","17, Pidgeotto","13, Jigglypuff","15, Jigglypuff","17, Jigglypuff",,,,,,,,,,,,,,,,,,
Route6,"15, Pidgey","14, Rattata","14, Abra","16, Pidgey","16, Lickitung","15, Psyduck","17, Pidgeotto","16, Magnemite","17, Magnemite","19, Magnemite","10, Psyduck","15, Psyduck","15, Psyduck","15, Psyduck","15, Psyduck","20, Psyduck","25, Golduck","30, Golduck","30, Golduck","35, Golduck","5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",30 Goldeen,35 Goldeen,30 Seaking,35 Seaking
Route7,"20, Vulpix","22, Pidgey","20, Rattata","22, Koffing","23, Koffing","24, Pidgeotto","26, Abra","19, Jigglypuff","24, Jigglypuff","30, Jigglypuff",,,,,,,,,,,,,,,,,,
Route8,"20, Growlithe","22, Pidgey","20, Rattata","17, Abra","18, Abra","24, Pidgeotto","19, Abra","24, Jigglypuff","24, Kadabra","28, Kadabra",,,,,,,,,,,,,,,,,,
Route9,"16, Nidoran-m","16, Nidoran-f","18, Rattata","18, Lickitung","18, Nidorina","18, Nidorino","18, Spearow","20, Fearow","21, Pinsir","23, Pinsir",,,,,,,,,,,,,,,,,,
Route10,"16, Magnemite","20, Raticate","18, Magnemite","20, Magnemite","17, Nidoran-m","17, Nidoran-f","22, Magnemite","18, Machop","19, Machop","20, Machop",,,,,,,,,,,"5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",25 Krabby,30 Krabby,30 Horsea,35 Kingler
Route11,"16, Pidgey","15, Rattata","18, Sandshrew","17, Drowzee","17, Ekans","18, Drowzee","20, Pidgeotto","19, Magnemite","19, Drowzee","20, Drowzee",,,,,,,,,,,"5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",25 Tentacool,25 Tentacool,30 Tentacool,35 Horsea
Route12,"25, Oddish","25, Bellsprout","28, Pidgey","28, Pidgeotto","28, Oddish","29, Tangela","29, Gloom","29, Weepinbell","26, Farfetchd","31, Farfetchd","15, Slowpoke","15, Slowpoke","15, Slowpoke","15, Slowpoke","15, Slowpoke","15, Slowpoke","15, Slowpoke","15, Slowpoke","15, Slowbro","20, Slowbro","5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",30 Horsea,25 Horsea,30 Seadra,35 Seadra
Route13,"25, Oddish","25, Bellsprout","28, Pidgeotto","28, Pidgey","27, Gloom","27, Scyther","29, Weepinbell","29, Weepinbell","26, Farfetchd","33, Farfetchd","15, Slowpoke","15, Slowpoke","15, Slowpoke","15, Slowpoke","15, Slowpoke","15, Slowpoke","15, Slowpoke","15, Slowpoke","15, Slowbro","20, Slowbro","5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",25 Horsea,30 Horsea,30 Tentacruel,30 Seadra
Route14,"26, Oddish","26, Bellsprout","24, Weepinbell","30, Pidgeotto","28, Gloom","28, Scyther","30, Gloom","28, Venonat","27, Venonat","33, Venomoth",,,,,,,,,,,,,,,,,,
Route15,"26, Oddish","26, Bellsprout","24, Venonat","32, Pidgeotto","28, Oddish","28, Bellsprout","30, Gloom","30, Weepinbell","30, Venomoth","34, Venomoth",,,,,,,,,,,,,,,,,,
Route16,"22, Spearow","22, Doduo","23, Rattata","24, Doduo","24, Grimer","26, Doduo","23, Spearow","24, Fearow","25, Raticate","26, Raticate",,,,,,,,,,,,,,,,,,
Route17,"26, Doduo","27, Fearow","27, Doduo","28, Grimer","28, Ponyta","29, Grimer","29, Fearow","28, Doduo","32, Ponyta","31, Dodrio",,,,,,,,,,,"5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",25 Tentacool,30 Tentacool,30 Shellder,35 Shellder
Route18,"25, Spearow","27, Doduo","23, Rattata","28, Doduo","28, Raticate","29, Doduo","28, Fearow","29, Fearow","31, Raticate","32, Raticate",,,,,,,,,,,"5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",25 Tentacool,30 Shellder,35 Shellder,35 Shellder
Route19,"20, Tentacool","10, Tentacool","15, Tentacool","5, Tentacool","15, Tentacool","20, Tentacool","25, Tentacool","30, Tentacruel","35, Tentacruel","40, Tentacruel",,,,,,,,,,,"5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",25 Tentacool,30 Staryu,30 Tentacool,35 Tentacruel
